StudentID,Name,Major,GPA,State
301,Alice Brown,Computer Science,3.9,California
302,Ben Johnson,Mechanical Eng.,3.3,Texas
303,Clara Davis,Psychology,3.5,Florida
304,Daniel Lee,Business Mgmt.,3.2,Illinois
305,Eva Wilson,Biology,3.8,New York
306,Frank Miller,Computer Science,2.9,California
307,Grace Taylor,English Literature,3.6,Ohio
308,Henry Clark,Mathematics,3.7,Texas
309,Irene White,Chemistry,3.4,Washington
310,Jack Lewis,Business Mgmt.,3.1,Florida
311,Jaspreet Singh,Biology,3.9,California
312,Liam Scott,Computer Science,3.6,New York
313,Mia Adams,Mathematics,3.2,Texas
314,Noah Carter,Mechanical Eng.,3.0,Illinois
315,Olivia Green,Psychology,3.8,Florida
316,Paul Walker,Business Mgmt.,3.5,Ohio
317,Quinn Rivera,English Literature,3.7,Texas
318,Ryan Hall,Biology,2.8,California
319,Sophia King,Mathematics,3.9,Washington
320,Thomas Allen,Computer Science,3.4,Illinois
